Source,Igbo,Hausa,Yoruba
Kano is expected to reach 42°C tomorrow. Farmers in Bichi should water crops early and avoid working under the sun from noon to 4 PM.,A na-atụ anya na Kano ga-eru ogo 42 Celsius echi. Ndị ọrụ ugbo nọ na Bichi kwesịrị ịgbara ihe ọkụkụ mmiri n'oge ma zere ịrụ ọrụ n'okpuru anwụ site n'ehihie ruo elekere anọ nke ehihie.,Ana sa ran zafin Kano zai kai 42°C gobe. Manoma a Bichi su yi ban-ruwa da sassafe kuma su guji yin aiki cikin rana daga tsakar rana zuwa ƙarfe 4 na yamma.,A retí pé Kano yóò dé ogójì ó lé méjì ìwọn ti celsius lọ́la. Àwọn àgbẹ̀ ní Bichi yẹ kí wọ́n máa bomi rin àwọn irè oko wọn kíákíá kí wọ́n sì yẹra fún ṣíṣiṣẹ́ lábẹ́ oòrùn láti ọ̀sán títí di aago mẹ́rin òru.
Rising sea levels are threatening fishing communities in Bayelsa’s Brass and Akassa regions. Residents should prepare for possible relocation.,Ogo osimiri na-arị elu na-eyi obodo ndị na-akụ azụ na mpaghara Brass na Akassa nke Bayelsa egwu. Ndị bi n'ebe ahụ kwesịrị ịkwado maka ịkwaga ebe ọzọ.,Hauhawar ruwan teku na barazana ga ƙauyukan masunta a yankunan Brass da Akassa na Bayelsa. Mazauna su shirya don yiwuwar ƙaura.,Ipò omi òkun tó ń ga sí i ń halẹ̀ mọ́ àwọn agbègbè apẹja ní àgbègbè Brass àti Akassa ti Bayelsa. Ó yẹ kí àwọn olùgbé múra sílẹ̀ fún ṣíṣíṣí tí ó ṣeé ṣe.
Severe drought is affecting farmlands in Dutse and Hadejia. Farmers are encouraged to adopt drip irrigation to conserve water.,Oké ọkọchị na-emetụta ọrụ ugbo na Dutse na Hadejia. A na-agba ndị ọrụ ugbo ume ka ha na-agba mmiri site na mmiri mmiri iji chekwaa mmiri.,Fari mai tsanani na shafar gonaki a Dutse da Hadejia. Ana ƙarfafa cewa manoma su rungumi hanyar ban-ruwa ta ɗigo-ɗigo don tanadin ruwa.,Ògùn tó le gan-an ti ba àwọn ilẹ̀ oko jẹ́ ní Dutse àti Hadejia. Wọ́n rọ àwọn àgbẹ̀ pé kí wọ́n máa lo ọ̀nà tí wọ́n fi ń fa omi sára láti lè dín omi kù.
Air pollution levels in Port Harcourt are dangerously high due to soot emissions. Residents should wear masks outdoors and keep windows shut.,Ogo ikuku merụrụ emerụ na Port Harcourt dị oke elu n'ihi nsị. Ndị bi n'ime obodo kwesịrị iyi ihe nkpuchi ihu n'èzí ma mechie windo.,Gurɓatar iska a Port Harcourt yana da yawa sosai saboda hayaƙin da ake fitarwa. Mazauna su saka takunkumi a waje kuma su rufe tagogi.,"Awọn ipele idoti afẹfẹ ni Port Harcourt ga pupọ nitori awọn atẹjade màjàlà. Àwọn olùgbé gbọ́dọ̀ wọ ìbòjú ní ìta, kí wọ́n sì pa fèrèsé."
"Heavy rainfall is worsening gully erosion in Nanka and Oko, Anambra. Residents should avoid unstable slopes and report landslides to local authorities.","Nnukwu mmiri ozuzo na-akawanye ozize dị na Nanka na Oko, Anambra njọ. Ndị bi n'ebe ahụ kwesịrị izere ala na-amị amị ma kọọrọ ndị ọchịchị obodo ha ihe dị etu ahụ.","Ruwan sama mai yawa na ƙara tsananta ɓarnar zaizayar ƙasa a Nanku da Oko, Anambra. Mazauna su guji gangarar ƙasa mara ƙarfi kuma su sanar da hukumomi idan ƙasa ta zabtare.","Òjò líle ń mú kí ìdàrúdàpọ̀ àfonífojì pọ̀ sí i ní Nanka àti Oko, Anambra. Ó yẹ kí àwọn aráàlú yẹra fún àwọn ibi tí ọ̀nà ò gbabẹ̀ dé, kí wọ́n sì sọ fún àwọn aláṣẹ àdúgbò nípa ìsẹ̀lẹ̀ náà."
Strong winds and thunderstorms are expected in Kaduna tonight. Motorists should be cautious of fallen trees and electric poles.,A na-atụ anya oke ifufe na égbè eluigwe na Kaduna n'abalị a. Ndị ọkwọ ụgbọala kwesịrị ịkpachara anya banyere osisi ndị dara ada na igwe ọkụ eletrik.,Ana sa ran samun iska mai ƙarfi da guguwar ruwan sama a Kaduna daren yau. Matuƙa babura su kula da faɗuwar itatuwa da sandunan wutar lantarki.,Afẹ́fẹ́ líle àti ìjì ààrá ni wọ́n ń retí ní Kaduna lálẹ́ yìí. Ó yẹ kí àwọn awakọ̀ ṣọ́ra fún àwọn igi tó ti wó lulẹ̀ àtàwọn òpó iná mànàmáná.
Borehole water levels in Sokoto’s Tambuwal and Gwadabawa have dropped significantly. Residents should store water efficiently and minimize wastage.,Ogo mmiri a gbapuru agbapu na Tambuwal Sokoto na Gwadabawa adaala nke ukwuu. Ndị bi n'obodo ahụ kwesịrị ịchekwaa mmiri ma ghara imefu ya.,Yawan ruwa a rijiyoyin burtsatse na Tambuwal da Gwadabawa a Sokoto ya sauka sosai. Mazauna su tanadi ruwa kuma su rage ɓarna.,Ìwọ̀n omi tó wà nínú bọ́ọ́hoò ni Tambuwal ati Gwadabawa ni Sokoto ti lọ sílẹ̀ gan-an. Ó yẹ káwọn aráàlú máa tọ́jú omi wọn dáadáa kí wọ́n má sì máa fi ṣòfò.
Dry conditions in Obudu Ranch are increasing the chances of bushfires. Farmers should clear dry vegetation around homes and avoid open burning.,Ọnọdụ ọkọchị na Obudu Ranch na-abawanye ohere ọhịa ịgba ọkụ. Ndị ọrụ ugbo kwesịrị iwepụ ahịhịa kpọrọ nkụ n'akụkụ ụlọ ma zere ịgba ya ọkụ n'èzí.,Bazara a Obudu Ranch na ƙara yiwuwar yin gobarar daji. Manoma su share busassun ciyayi kuma su guji ƙona shara a fili.,Àìsí omi tó pọ̀ ní Oko Obudu ń mú kí iná máa jó nínú igbó. Àwọn àgbẹ̀ gbọ́dọ̀ gé àwọn ewéko gbígbẹ tó wà nítòsí ilé kúrò kí wọ́n sì yẹra fún sísun wọn ní gbangba.
Heavy downpours in Lagos have worsened potholes along the Lekki-Epe Expressway. Commuters should drive carefully and expect longer travel times.,Nnukwu mmiri ozuzo na Legọs emeela ka oghere dị n'okporo ụzọ Lekki-Epe ka njọ. Ndị na-aga ọrụ kwesịrị ịkwọ ụgbọala nke ọma ma na-atụ anya njem ga-ewe ogologo oge.,Ruwan sama mai yawa a Lagos ya ƙara lalata ramukan kan titi a kan titin Lekki-Epe. Masu motocin haya su tuƙa a hankali kuma su shirya tafiya mai tsawo.,"Òjò líle tó rọ̀ nílùú Èkó ti sọ àwọn ihò tó wà ní ojú ọ̀nà Lekki-Epe Expressway di bàìbàì. Ó yẹ kí àwọn tó ń wakọ̀ máa ṣọ́ra, kí wọ́n sì mọ̀ pé àkókò tí wọ́n máa lò lójú ọ̀nà máa pọ̀ sí i."
"It’s been raining heavily in Lokoja, and the River Niger is rising fast. If you live near the river, start making plans to move to safer ground before it gets worse.","Oke mmiri na-ezo na Lokoja, Osimiri Niger na-arịkwa elu ngwa ngwa. Ọ bụrụ na ị bi nso n'osimiri, malite ịtụ arọ ịkwaga n'ebe ka mma tupu ọ ka njọ.","An samu ruwan sama sosai a Lokoja, kuma Kogin Neja na hauhawa da sauri. Idan kuna kusa da kogin, ku fara shirin barin wurin zuwa wuri mai aminci kafin lamarin yayi tsanani.","Òjò ti rọ̀ gan-an ní Lokoja, Odò Niger sì ń yára kún. Tó o bá ń gbé nítòsí odò, bẹ̀rẹ̀ sí ṣètò láti kó lọ síbi tí kò léwu kó tó di pé odò náà wá le koko sí i."
Maiduguri is getting unbearably hot this week. Please drink lots of water and stay indoors during peak sun hours. Heatstroke is real.,Maiduguri na-ekpo oke ọkụ n'izu a. Biko ṅụọ mmiri nke ọma ma nọrọ n'ime ụlọ n'oge anwụ kacha acha. Ọrịa heatstroke bụ eziokwu.,"Maiduguri na ƙara shiga zafi mai tsanani a wannan makon. Don Allah kun shan ruwa da yawa, kuma kun zama a cikin gida lokacin tsananin zafin rana. Mataslar zafi gaskiya ce.",Ooru ti ń mú Maiduguri lọ́sẹ̀ yìí débi pé kò ṣeé fara dà. Jọwọ mu omi pupọ ki o si duro ni ile lakoko awọn wakati oorun ti o pọ julọ. Òótọ́ ni pé ooru máa ń múni.
"Strong winds in Calabar have already knocked down some trees and power lines. If you’re outside, stay alert and avoid unstable structures.","Ifufe siri ike na Calabar adapụlarị ụfọdụ osisi na eriri eletrik. Ọ bụrụ na ị nọ n'èzí, kpachara anya ma zere ụlọ ndị na-adịghị mma.","Iska mai ƙarfi a Calabar ta kayar da wasu itatuwa da wayoyin wutar lantarki. Idan kuna waje, ku zauna a faɗake, kuma ku guji gine-gine masu matsala.","Ìjì líle tó ń jà ní Calabar ti wó àwọn igi àti àwọn ìlà iná mànàmáná kan lulẹ̀. Tó o bá wà níta, ṣọ́ra kó o sì yẹra fún àwọn ilé tí kò dúró sójú kan."
"Benin City roads are flooded again. If you’re driving, avoid Sapele Road and Ugbowo. The last thing you want is to be stuck in water with a bad engine.","Mmiri ejupụtala n'okporo ụzọ dị na Benin City ọzọ. Ọ bụrụ na ị na-akwọ ụgbọala, zere okporo ụzọ Sapele na Ugbowo. Ihe ikpeazụ ị chọrọ bụ ịnọ n'ime mmiri n'ihi na injin ya mebiri.","Hanyoyin Benin City sun sake cika da ruwa. Idan kuna tuƙi, ku guji titin Sapele da Ugbowo, in dai ba so kuke ku maƙale cikin ruwa injin motarku ya lalace ba.","Ọ̀nà ìlú Benin tún kún fún omi. Ti o ba n wakọ, yago fun ọ̀nà Sapele ati Ugbowo. Ohun tí o kò ní fẹ́ ni pé kó o máa jókòó sínú omi pẹ̀lú ẹ̀rọ tó ti bà jẹ́."
"Farmers in Jigawa, please hold off on planting just yet. The rains are coming later than usual, and early planting may lead to losses. Stay patient.","Ndị ọrụ ugbo nọ na Jigawa, biko kwụsịnụ ịgha mkpụrụ ugbua. Mmiri na-ezo n'oge na-adịghị anya karịa ka ọ na-emekarị, ịgha mkpụrụ n'oge pụkwara ịkpata mfu. Nwee ndidi.","Manoma a Jigawa, ku dakata da shuka tukuna. Ruwan sama zai yi latti a bana, kuma shuka da wuri na iya janyo asara. Ku yi haƙuri ku ɗan jira.","Ẹ̀yin àgbẹ̀ ní Jigawa, ẹ jọ̀wọ́ ẹ dúró díẹ̀ kí ẹ tó gbin irúgbìn. Òjò ò rọ̀ déédéé mọ́ báyìí, tí wọ́n bá sì lọ gbin nǹkan ṣáájú àkókò, ó lè máà sèso. Ní sùúrù."
"The harmattan is hitting hard this year. If you have asthma or allergies, wear a mask and keep your windows closed to reduce exposure to dust.","Ụgụrụ n a-abịasi ike n'afọ a. Ọ bụrụ na ị na- arịa ụkwara ume ọkụ maọbụ na- arịa ọrịa ndị na- eme ka ahụ ghara ịna-arụ ọrụ nke ọma , na- ekpu ihe n'ihu gị ma na- emechi windo gị ka uzuzu ghara ịna-emetụ gị .","Lokacin sanyi na shigowa da ƙarfi a bana. Idan kuna da cutar asma ko damuwar cuta, ku sa takunkumi kuma ku rufe tagogin gida don rage haɗuwa da ƙura.","Ọyẹ́ náà le lọ́dún yìí. Tó o bá ní àrùn ikọ́ fée tàbí tó o ní àrùn tó máa ń mú kí ara mára gbóná, máa fi nǹkan bo ojú rẹ, kó o sì máa fi fèrèsé rẹ pa kó o má bàa kó sínú eruku."
"Rising sea levels in Lagos Island are causing coastal erosion. If you live close to the shore, take extra precautions to protect your home and property.","Ogo osimiri na-arị elu n'Agwaetiti Lagos na-akpata ozize n'ụsọ oké osimiri. Ọ bụrụ na ị bi nso n'ụsọ oké osimiri, kpachara anya iji chebe ụlọ gị na ihe onwunwe gị.","Hauhawar ruwan teku a Lagos Island na haddasa zaizayar ƙasa a bakin teku. Idan kuna rayuwa kusa da gaɓar ruwa, ku ɗauki matakan kare gidanku da kayanku.","Bí omi òkun ṣe ń ga sí i ní erékùṣù Èkó ti mú kí etíkun bẹ̀rẹ̀ sí í mì. Tó o bá ń gbé nítòsí etíkun, rí i pé o ṣe àwọn nǹkan kan láti dáàbò bo ilé rẹ àti ohun ìní rẹ."
"The sun in Ibadan is something else right now. If you work outside, take regular breaks in the shade and wear light-colored clothing to stay cool.","Anwụ dị n'Ibadan bụ ihe ọzọ ugbua. Ọ bụrụ na ị na-arụ ọrụ n'èzí, na-ezutụ ike mgbe niile na ndò ma na-eyi uwe na-esighị ike iji mee ka ahụ́ jụọ gị oyi.","Rana a Ibadan na da zafi sosai a yanzu haka. Idan kuna aiki a waje, kuna hutawa akai-akai a inuwa, kuma kuna sanya kaya marasa nauyi.","Oòrùn ní Ibadan ti di nǹkan míì báyìí. Tó o bá ń ṣiṣẹ́ níta, máa wá ibi tó ṣókùnkùn, kó o sì máa wọ aṣọ aláwọ̀ mèremère kó lè tutù."
"A thunderstorm is on the way in Enugu tonight. If you have outdoor plans, you might want to reschedule. Also, unplug your electronics to prevent damage.","Ebili mmiri na-abịa na Enugu n'abalị a. Ọ bụrụ na i nwere ihe ndị ị ga-eme n'èzí, i nwere ike ịhazigharị oge ahụ. Wepụkwa eletrọniks gị n'ọkụ ka ha ghara imebi.","Ana sa ran guguwa da tsawa da daddare a Enugu. Idan kuna da shirin fita, to ku ɗaga fitar. Ku kuma cire na’urorin lantarki daga soket don gujewa ɓarna.","Ìjì ààrá ń bọ̀ ní Enugu lálẹ́ yìí. Tó bá jẹ́ pé o ní àfojúsùn kan tó o fẹ́ ṣe níta, o lè fẹ́ ṣe àtúntò rẹ̀. Yàtọ̀ síyẹn, o tún gbọ́dọ̀ yọ àwọn ẹ̀rọ tó o fi ń gbé ìsọfúnni jáde kúrò nínú ẹ̀rọ rẹ kó má bàa bà jẹ́."
"Aba market is flooded again after heavy rain. Traders, please raise your goods off the ground to avoid losses. Customers, wear waterproof shoes if you must go out.","Mmiri ejupụtala ahịa Aba ọzọ mgbe oke mmiri zoro. Ndị na-azụ ahịa, biko bulie ngwongwo gị n'ala iji zere mmefu. Ndị ahịa, yirinụ akpụkpọ ụkwụ na-eguzogide mmiri ma ọ bụrụ na unu ga-apụ.","Kasuwar Aba ta cika da ruwa bayan ruwan sama mai yawa. ‘Yan kasuwa, ku ɗaga kayanku daga ƙasa. Masu sayen kaya kuma, ku saka takalma masu kare ruwa idan dole sai kun fita.","Ọjà Aba tún kún fún omi lẹ́yìn òjò líle. Ẹ̀yin oníṣòwò, ẹ jọ̀wọ́ ẹ gbé ẹrù yín sókè láti yẹra fún àdánù. Àwọn oníbàárà, ẹ máa wọ bàtà tí kò lè wọ omi bí ẹ bá ní láti jáde."
"The Jebba Dam water levels are rising. If you live in a riverine area downstream, stay informed and be ready to move if necessary.","Mmiri na-arị elu n'ọdọ mmiri Jebba. Ọ bụrụ na i bi n'ebe osimiri na-asọda, mara ihe na-emenụ ma dịrị njikere ịkwaga ebe ọzọ ma ọ bụrụ na ọ dị mkpa.","Ruwa a Dam ɗin Jebba yana tasowa sama. Idan kuna zaune a ƙasa kusa da kogi, ku kasance a shirye da shirin matsawa zuwa wani wuri.","Omi tó wà nínú ìsédò Jebba ń ga sí i. Bó o bá ń gbé ní àgbègbè odò kan tó wà ní ìsàlẹ̀ odò náà, máa wà lójúfò, kó o sì múra tán láti ṣí lọ síbòmíràn tó bá pọn dandan."
"If your area is prone to landslides, be alert after heavy rains. Unusual cracks in the ground or sudden changes in the landscape could be warning signs.","Ọ bụrụ na ala na-asụfu n'ebe i bi, kpachara anya ma oké mmiri ozuzo zoo. Mgbawa dị n'ala maọbụ mgbanwe bịara n'ike nwere ike ịbụ ihe iribeama.","Idan yankinku na cikin barazanar zabtarewar ƙasa, ku kula bayan ruwan sama mai yawa. Tsagewar ƙasa ko sauyin yanayin ƙasa na iya zama alamar matsala.","Tó bá jẹ́ pé ilẹ̀ máa ń wọ́ tìrítìrí lágbègbè rẹ, ṣọ́ra lẹ́yìn òjò tó rọ̀ gan-an. Àwọn àlàfo tó máa ń wà nínú ilẹ̀ tàbí bí ojú ilẹ̀ ṣe máa ń yí pa dà lójijì lè jẹ́ àmì tó ń kìlọ̀ fún wa."
"The Lagos State Emergency Services say they have recorded more car accidents due to wet, slippery roads. Drive carefully, especially at night.","Ndị ọrụ mberede na Legọs steeti kwuru na ha enwetakwuola ọnụọgụgụ ihe mberede okporo ụzọ n'ihi ụzọ na-amị amị. Na-akwọ ụgbọala nke ọma, ọkachasị n'abalị.","Hukumar Agajin Gaggawa ta Jihar Lagos tace an samu ƙarin haɗurran mota saboda hanya mai santsi da jiƙa. Ku yi tuƙi a hankali, musamman da dare.","Ẹ̀ka Iṣẹ́ pàjáwìrì Ìpínlẹ̀ Èkó sọ pé àwọn ti ṣe àkọsílẹ̀ àwọn jàǹbá ọkọ̀ púpọ̀ nítorí àwọn ojú ọ̀nà tó rọ̀, tó sì ń rọ̀. Ṣọ́ra nígbà tó o bá ń wakọ̀, pàápàá lóru."
"The Red Cross is assisting families displaced by floods in Adamawa. If you need help or know someone who does, reach out for support.","Ndị na-ahụ maka ahụike na-enyere ezinụlọ ndị ide mmiri chụpụrụ aka na Adamawa. Ọ bụrụ na ị chọrọ enyemaka maọbụ ị maara onye chọrọ enyemaka, kpọtụrụ ha maka enyemaka.",Ƙungiyar Agajin Gaggawa ta Red Cross na taimaka wa waɗanda ambaliya ta kora a Adamawa. Ku nemi taimako idan kuna buƙata ko kun san mai buƙata.,"Ẹgbẹ́ Àmì Àgbélébùú Pupa ń ṣèrànwọ́ fún àwọn ìdílé tí omíyalé kó kúrò ní Adamawa. Tó o bá nílò ìrànlọ́wọ́ tàbí tó o mọ ẹnì kan tó nílò ìrànlọ́wọ́, béèrè fún ìrànlọ́wọ́"
Harmattan is setting in earlier than usual in parts of the North. Expect drier air and colder mornings—stay warm and moisturize your skin!,Ụgụrụ bịara n'oge karịa ka ọ na-abịakarị n'akụkụ ụfọdụ n'Ugwu. Na-atụ anya ikuku kpọrọ nkụ na oyi n'ụtụtụ --- yichie ahụ ma na-ete ude.,Lokacin sanyi na zuwa da wuri a Arewa akan yadda aka saba. Ka sa ran samun busasshiyar iska da safiya mai sanyi—ku rufe jiki kuma ku shafa mai.,Ọyẹ́ ti ń bẹ̀rẹ̀ sí í dé ṣáájú àkókò tó fi máa ń dé láwọn apá ibì kan ní Àríwá. O lè máa retí òjò tó gbẹ àti òwúrọ̀ tó tutù ju ti tẹ́lẹ̀ lọ.
Farmers in Jos are worried about unexpected dry spells. The government advises using water-saving techniques to protect crops.,Ndị ọrụ ugbo na Jos na-echegbu onwe ha maka oge ọkọchị a na-atụghị anya ya. Gọọmenti na-adụ ọdụ ka e jiri usoro ndị na-echekwa mmiri mee ihe iji chebe ihe ọkụkụ.,Manoma a Jos na fargabar tsaikon ruwan sama. Gwamnati na ba da shawarar amfani da dabarun rashin ruwa don kare tsirrai.,Àwọn àgbẹ̀ ní Jos ń ṣàníyàn nípa òjò gbígbẹ tí wọn kò retí. Ìjọba ń dábàá pé kí wọ́n máa lo àwọn ọ̀nà tó lè dín omi kù kí wọ́n lè dáàbò bo irè oko wọn.
"Recent floods have led to a rise in snake sightings in Delta State. Be cautious, especially at night, and keep your surroundings clear of hiding spots.","Ide mmiri bidoro ọhụrụ emeela ka ọnụ ọgụgụ agwọ a na-ahụ na Delta steeti rịa elu. Kpachara anya, ọkachasị n'abalị, ma zere ebe ndị zoro ezo.","Ambaliya a Jihar Delta ta haifar da ƙaruwar ganin macizai. Ku yi hattara, musamman da dare, kuma ku tabbata babu wuraren ɓuya a gidanku.","Àkúnya omi tó wáyé láìpẹ́ yìí ti mú kí iye àwọn ejò tí wọ́n ń rí pọ̀ sí i ní ìpínlẹ̀ Delta. Ṣọ́ra, pàápàá lọ́wọ́ alẹ́, má sì jẹ́ kí ibi tó o máa sá pa mọ́ sí wà nítòsí."
The rising heatwave has made food spoil faster. Store perishable items properly and avoid buying more than you can consume quickly.,Oké okpomọkụ rịrị elu emeela ka nri na-emebi ọsịsọ. Debe ihe ndị na-emebi ọsịsọ n'ebe kwesịrị ekwesị ma zere ịzụ ihe karịrị ihe ị gaghị-erisi ọsịsọ.,"Zafin rana mai tsanani na sa abinci ya lalace da wuri. Ka ajiye kayan da ke da saurin lalacewa da kyau, kuma ku guji sayan fiye da abin da kuke buƙata da wuri.","Ooru tó ń mú gan-an ti mú kí oúnjẹ tètè bà jẹ́. Máa tọ́jú àwọn nǹkan tó lè tètè bà jẹ́ dáadáa, má sì ra ju ohun tó o lè lò lójú ẹsẹ̀ lọ."
"Taraba farmers, the rains are delaying this year. You might need to consider irrigation or alternative crops while waiting. Stay prepared.","Ndị ọrụ ugbo Taraba, mmiri ozuzo na-egbu oge n'afọ a. Ị nwere ike ịtụle etu ị ga-esi na-agba ya mmiri maọbụ ihe ọkụkụ ndị ọzọ ma ị na-eche. Dịrị njikere.","Manoma a Taraba, ruwan sama na jinkiri wannan shekarar. Ku yi tunanin yin ban-ruwa ko wasu shuke-shuken daban. Ku kasance a shirye.","Ẹ̀yin àgbẹ̀ Taraba, òjò ń pẹ́ lọ́dún yìí. Ó lè pọn dandan pé kó o máa bomi rin ilẹ̀ tàbí kó o máa gbin àwọn nǹkan míì nígbà tó o bá ń dúró. Ẹ múra sílẹ̀."
"The winds in Yobe are no joke right now. If your roof is not strong, please secure it before the next storm comes.","Ifufe na Yobe abụghị ihe egwuregwu ugbua. Ọ bụrụ na ụlọ gị esichaghị ike, biko mee ka o sie ike tupu oké ifufe ọzọ abịa.","Iska a Yobe tana da ƙarfi sosai. Idan rufin gidanku ba shi da ƙarfi, ku gyara kafin guguwa ta dawo.","Àwọn afẹ́fẹ́ ní Yobe kì í ṣe àwàdà nísinsìnyí. Bí òrùlé yín kò bá lágbára, ẹ jọ̀wọ́ ẹ ṣàtúnṣe rẹ̀ dáadáa kí ìjì tó ń bọ̀ náà tó dé."
"Makurdi roads are flooded after last night’s rain. If you must go out, be careful. Hidden potholes are everywhere.","Mmiri na-ezo n'okporo ụzọ ndị dị na Makurdi kemgbe mmiri zoro n'abalị ụnyaahụ. Ọ bụrụ na ị ga-apụ apụ, kpachara anya. E nwere olulu ndị zoro ezo n'ebe niile.","Hanyoyin Makurdi sun cika da ruwa bayan ruwan jiya da daddare. Idan dole sai kun fita, ku kula da ramukan hanya na ko ina.","Òjò tó ròru lálẹ́ àná ti sọ àwọn òpópónà Makurdi di ahoro. Tó bá pọn dandan pé kó o jáde, ṣọ́ra. Àwọn kòtò tó fara sin wà níbikíbi."
"Kano’s air is thick with dust today. If you have breathing issues, please avoid staying outside for long.","Ikuku Kano jupụtara n'ájá taa. Ọ bụrụ na i nwere nsogbu iku ume, biko zere ịnọ n'èzí ruo ogologo oge.","Iskar ƙurar Kano ta yi duhu yau. Idan kuna da matsalar numfashi, ku guji zama a waje na dogon lokaci.","Òfuurufú Kano kún fún eruku lónìí. Bí o bá ní ìṣòro síséèémí, jọ̀wọ́ yẹra fún wíwà níta fún àkókò gígùn."
"Sokoto’s dry season is stretching longer than expected. Water storage will help, especially if you rely on boreholes.","Oge ọkọchị na Sokoto na-adịte aka karịa ka a tụrụ anya ya. Ichekwa mmiri ga-enye aka, karịsịa ma ọ bụrụ na ị na-adabere n'olulu mmiri.","Lokacin bazara a Sokoto ya yi tsawo fiye da yadda ake tsammani. Tanadin ruwa zai taimaka, musamman idan ka dogaro da rijiyoyin burtsatse.","Àkókò òjò tó gbẹ ní Sokoto ti gùn ju bí a ṣe rò lọ. Ìtọ́jú omi yóò ṣèrànwọ́, àgàgà tó o bá gbára lé àwọn bọ́ọ́hoò."
"The thunderstorms in Owerri are causing floods in some areas. If you see water rising, don’t wait—move to higher ground immediately.","Ajọ ifufe na Owerri na-akpata ide mmiri n'ebe ụfọdụ. Ọ bụrụ na ị hụ ka mmiri na-arị elu, echela ruo mgbe ị gafere n'ebe dị elu ozugbo.","Guguwar hadari a Owerri na haddasa ambaliya a wasu yankuna. Idan kuka ga ruwa na hauhawa, kada ku jira—ku koma wuri mai tudu nan-take.","Ìjì ààrá ní Owerri ń fa omíyalé ní àwọn àgbègbè kan. Tó o bá rí i pé omi ń lọ sókè, má ṣe dúró kí omi náà tó lọ sókè."
"Farmers in Katsina, desert encroachment is worsening. Tree planting and soil conservation will go a long way in protecting your land.","Ndị ọrụ ugbo nọ na Katsina, ọzara na-abịanụ na-akawanye njọ. Ịkụ osisi na ichebe ala ga-enye aka nke ukwuu n'ichebe ala gị.","Manoma a Katsina, kwararowar hamada na ƙara tsanani. Shuka itatuwa da kare ƙasa na da matuƙar amfani wurin kare ƙasarku.","Àwọn àgbẹ̀ ní Katsina, bí aṣálẹ̀ ṣe ń wọlé sí i ń burú sí i. Kíkó igi àti pípa erùpẹ̀ mọ́ yóò ṣèrànwọ́ gan-an láti dáàbò bo ilẹ̀ yín."
"The heavy rain in Warri has made river transport risky. If you must travel by boat, check the weather before setting out.","Oké mmiri ozuzo na Warri emeela ka njem n'osimiri bụrụ ihe dị ize ndụ. Ọ bụrụ na ị ga-eji ụgbọ mmiri mee njem, buru ụzọ chọpụta otú ihu igwe ga-adị tupu ị gawa.","Ruwan sama mai yawa a Warri ya sa sufuri ta ruwa ya zama mai haɗari. Idan dole sai ku yi tafiya ajirgin ruwa, Ku duba yanayi kafin fara tafiyar.","Òjò líle tó rọ̀ ní Warri ti sọ ìrìn-àjò orí odò di ewu. Tó bá di dandan kó o wọkọ̀ ojú omi, kọ́kọ́ ṣàyẹ̀wò bí ojú ọjọ́ ṣe máa rí."
"The Lake Chad area is getting drier by the day. Herders, please start looking for alternative grazing areas early.","Ebe Ọdọ Mmiri Chad na-akpọnwụ kwa ụbọchị. Ndị ọzụzụ atụrụ, biko malite ịchọ n'oge ebe ọzọ a ga-anọ na-ata ahịhịa.","Yankin Tafkin Chadi na ƙara bushewa kullum. Makiyaya, ku fara nemo sabin wuararen kiwo da wuri.","Àgbègbè Adágún Chad ń gbẹ̀ sí i lójoojúmọ́. Ẹ̀yin olùṣọ́ àgùntàn, ẹ jọ̀wọ́ ẹ tètè bẹ̀rẹ̀ sí í wá àwọn ibòmíì tí ẹ ti lè máa jẹko."
"Uyo’s drainage system is clogged again, and floods are everywhere. If you see blocked gutters, let’s clear them before the next rain.","Ọwa mmiri nke Uyo akpọchịela ọzọ ma ide mmiri dị ebe niile. Ọ bụrụ na ị hụ ebe mmiri na-agbachi, ka anyị kpochapụ ha tupu mmiri ezoo ọzọ.","Magudanan ruwa na Uyo sun sake toshewa, ambaliya kuma na ko’ina. Idan kuka ga magudanan ruwa a toshe, mu share su kafin ruwa na gaba ya zo.","Ọ̀nà tí omi ń gbà ṣàn ní ìlú Uyo tún ti dí, omíyalé sì wà káàkiri. Bí ẹ bá rí àwọn ìkùdu tó dí, ẹ jẹ́ ká tú wọn ká tó di ìgbà òjò tó ń bọ̀."
"Minna is experiencing strong winds that might disrupt communication signals. If your network is shaky, that’s probably why.","Minna na-enwe oké ifufe nke pụrụ ịghasa netwọk nkwurịta okwu. Ọ bụrụ na netwọkụ gị na-ama jijiji, nke ahụ bụ ihe kpatara ya.","Minna na fuskantar iska mai ƙarfi da ke iya jawo matsala ga hanyoyin sadarwa. Idan hanyar sadarwa ba ta aiki yadda ya kamata, wannan na iya zama dalili.","jì líle tó ń jà nílùú Minna lè ba ìsọfúnni jẹ́. Tó bá jẹ́ pé àárín ẹ̀yin méjèèjì kò gún, ó ṣeé ṣe kó jẹ́ pé ìyẹn ló fà á."
